player_url,player,season_from,season_to,position,height,weight,birth_date,college,is_active,hall_of_fame
/players/a/alexaty01.html,Ty-Shon Alexander,2021,2021,G,6-3,195,July 16 1998,Creighton,active,no
/players/a/alexavi01.html,Victor Alexander,1992,2002,C-F,6-9,265,August 31 1969,Iowa State,retired,no
/players/a/alexani01.html,Nickeil Alexander-Walker,2020,2024,G,6-5,205,September 2 1998,Virginia Tech,active,no
/players/a/alforst01.html,Steve Alford,1988,1991,G,6-2,183,November 23 1964,Indiana,retired,no
/players/a/alkinra01.html,Rawle Alkins,2019,2019,G,6-5,225,October 29 1997,Arizona,active,no
/players/a/allenbi01.html,Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State,retired,no
/players/a/allenbo01.html,Bob Allen,1969,1969,F,6-9,205,July 17 1946,Marshall,retired,no
/players/a/allengr01.html,Grayson Allen,2019,2024,G,6-4,198,October 8 1995,Duke,active,no
/players/a/allenja01.html,Jarrett Allen,2018,2024,C-F,6-11,243,April 21 1998,Texas,active,no
/players/a/allenje01.html,Jerome Allen,1996,1997,G,6-4,184,January 28 1973,Penn,retired,no
/players/a/allenka01.html,Kadeem Allen,2018,2020,G,6-1,200,January 15 1993,Arizona,retired,no
/players/a/allenla01.html,Lavoy Allen,2012,2017,F-C,6-9,260,February 4 1989,Temple,retired,no
/players/a/allenlu01.html,Lucius Allen,1970,1979,G,6-2,175,September 26 1947,UCLA,retired,no
/players/a/allenma01.html,Malik Allen,2002,2011,F-C,6-10,255,June 27 1978,Villanova,retired,no
/players/a/allenra01.html,Randy Allen,1989,1990,F,6-8,220,January 26 1965,Florida State,retired,no
/players/a/allenra02.html,Ray Allen,1997,2014,G,6-5,205,July 20 1975,UConn,retired,yes
/players/a/allento01.html,Tony Allen,2005,2018,G-F,6-4,213,January 11 1982,Butler County Community College,retired,no
/players/a/allenwi01.html,Willie Allen,1972,1972,F,6-6,230,February 8 1949,Miami (FL),retired,no
/players/a/allisod01.html,Odis Allison,1972,1972,F,6-6,195,October 2 1949,UNLV,retired,no
/players/a/allrela01.html,Lance Allred,2008,2008,C,6-11,250,February 2 1981,Utah,retired,no
/players/a/allumda01.html,Darrell Allums,1981,1981,F,6-9,220,September 12 1958,UCLA,retired,no
